Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID Initials,Arena Site,Deployement Period,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Billy,29.6,bucket inspection,information gain,bucket 1,,,,,STATE,100.167,102.467,2.300,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,4003,4095,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Billy,29.6,bucket rummaging,information gain,bucket 1,,,,,STATE,102.500,102.867,0.367,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,4096,4111,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Billy,29.6,batch processing,food handling,2HC,0HC,1HC,manipulate with hands,bucket 1,STATE,103.667,120.500,16.833,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,4143,4816,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Billy,29.6,other behavior/modifier,user notes,None,,,,,POINT,106.633,106.633,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,4262,4262,,,threats to arena,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Billy,29.6,2HC in batch processing,food handling,ground,None,,,,STATE,110.400,120.500,10.100,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,4412,4816,,,,etna
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Billy,15.631,batch processing,food handling,multiple,0HC,0HC,None,unknown,STATE,0.000,8.532,8.532,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0,NA,,,stna,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Billy,15.631,point of interest/general comment,user notes,other - comment,,,,,POINT,0.000,0.000,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0,0,,,cams not synced: camA is main,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Billy,15.631,reduced visibility,status,,,,,,POINT,8.533,8.533,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,256,256,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Billy,15.631,batch processing,food handling,multiple,0HC,0HC,None,unknown,STATE,12.933,20.032,7.099,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,388,NA,,,camB,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Billy,15.631,reduced visibility,status,,,,,,POINT,20.033,20.033,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,601,601,,,,
